;;SMITH;JOHNSON;WILLIAMS;BROWN;JONES;GARCIA;RODRIGUEZ;MILLER;MARTINEZ;DAVIS;HERNANDEZ;LOPEZ;GONZALEZ;WILSON;ANDERSON;THOMAS;TAYLOR;LEE;MOORE
1;Michael;29276;23226;19506;17288;17115;14872;13974;13655;13428;13356;12320;10782;10420;9703;9347;9007;8943;8876;8654
2;James;25838;20498;17215;15258;15105;13126;12333;12051;11852;11788;10873;9516;9196;8564;8249;7950;7893;7834;7638
3;John;24464;19408;16300;14447;14302;12428;11677;11411;11222;11161;10295;9010;8707;8108;7811;7527;7473;7417;7232
4;Robert;24005;19044;15994;14176;14034;12195;11458;11197;11011;10951;10102;8841;8544;7956;7664;7386;7333;7278;7096
5;David;22614;17940;15067;13354;13220;11488;10794;10548;10373;10317;9516;8329;8048;7495;7220;6958;6908;6856;6685
6;William;18925;15014;12610;11176;11064;9614;9034;8827;8681;8634;7964;6970;6736;6273;6042;5823;5781;5738;5594
7;Mary;17293;13719;11522;10212;10110;8785;8254;8066;7932;7889;7277;6369;6155;5732;5521;5321;5283;5243;5112
8;Christopher;14921;11837;9942;8811;8723;7580;7122;6959;6844;6807;6279;5495;5311;4945;4764;4591;4558;4524;4411
9;Joseph;13681;10854;9116;8079;7998;6950;6530;6381;6276;6242;5758;5039;4869;4534;4368;4209;4179;4148;4044
10;Richard;13519;10725;9007;7983;7903;6867;6453;6305;6201;6167;5689;4979;4811;4481;4316;4159;4130;4099;3996
11;Daniel;12992;10307;8657;7672;7595;6600;6202;6060;5959;5927;5468;4785;4624;4306;4148;3997;3969;3939;3840
12;Thomas;12446;9874;8293;7350;7276;6323;5941;5805;5709;5678;5238;4584;4430;4125;3974;3829;3802;3774;3679
13;Matthew;11371;9021;7576;6715;6648;5776;5428;5304;5216;5188;4785;4188;4047;3769;3630;3498;3474;3448;3361
14;Jennifer;10957;8693;7300;6470;6405;5566;5230;5111;5026;4999;4611;4035;3900;3632;3498;3371;3347;3322;3239
15;Charles;10822;8585;7211;6391;6327;5498;5166;5048;4964;4937;4554;3986;3852;3587;3455;3330;3306;3281;3199
16;Anthony;9709;7703;6469;5733;5676;4932;4634;4529;4453;4429;4086;3576;3456;3218;3100;2987;2966;2944;2870
17;Patricia;9569;7592;6376;5651;5594;4861;4568;4463;4389;4366;4027;3524;3406;3172;3055;2944;2923;2901;2829
18;Linda;9484;7524;6319;5601;5545;4818;4527;4424;4350;4327;3991;3493;3376;3143;3028;2918;2897;2875;2803
19;Mark;9000;7140;5996;5315;5261;4572;4296;4198;4128;4106;3787;3315;3203;2983;2873;2769;2749;2729;2660
20;Elizabeth;8925;7081;5947;5271;5218;4534;4260;4163;4094;4072;3756;3287;3177;2958;2850;2746;2727;2706;2638
21;Joshua;8876;7042;5914;5241;5189;4509;4237;4140;4071;4049;3735;3269;3159;2942;2834;2731;2711;2691;2624
22;Steven;8729;6925;5816;5154;5103;4434;4166;4071;4004;3982;3673;3215;3107;2893;2787;2686;2666;2646;2580
23;Andrew;8570;6799;5710;5061;5010;4353;4091;3997;3931;3910;3606;3156;3050;2840;2736;2637;2618;2598;2533
24;Kevin;8331;6609;5551;4919;4870;4232;3976;3886;3821;3801;3506;3068;2965;2761;2660;2563;2545;2526;2462
25;Brian;8203;6507;5465;4844;4795;4167;3915;3826;3762;3742;3452;3021;2919;2719;2619;2524;2506;2487;2425
26;Barbara;8109;6434;5403;4789;4741;4120;3871;3782;3720;3700;3413;2987;2886;2688;2589;2495;2477;2459;2397
27;Jessica;8037;6376;5355;4746;4698;4083;3836;3749;3686;3667;3382;2960;2860;2664;2566;2473;2455;2437;2376
28;Jason;7507;5956;5002;4433;4389;3814;3583;3501;3443;3425;3159;2765;2672;2488;2397;2310;2293;2276;2219
29;Susan;7438;5901;4956;4392;4348;3778;3550;3469;3412;3393;3130;2739;2647;2465;2375;2288;2272;2255;2199
30;Timothy;7282;5777;4852;4300;4257;3699;3476;3396;3340;3322;3064;2682;2592;2413;2325;2240;2224;2208;2152
31;Paul;7262;5761;4839;4288;4245;3689;3466;3387;3331;3313;3056;2675;2585;2407;2319;2234;2218;2202;2147
32;Kenneth;6994;5549;4660;4130;4089;3553;3338;3262;3208;3191;2943;2576;2489;2318;2233;2152;2137;2121;2067
33;Lisa;6951;5514;4631;4105;4064;3531;3318;3242;3188;3171;2925;2560;2474;2304;2219;2139;2123;2107;2055
34;Ryan;6938;5504;4623;4097;4056;3524;3312;3236;3182;3165;2920;2555;2469;2299;2215;2135;2119;2103;2051
